id,first_name,gender,birthday,Age,abonoment_type,visit_per_week,attend_group_lesson,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,personal_training,name_personal_trainer,precio_inscripcion_COP,precio_entrenador_COP,id_entrenador,ciudad,pais,latitud,longitud,fecha_inscripcion,__FileName
86,Kailey,Female,09/02/1997,27,Standard,3,True,BodyPump- LesMiles,20:29:00,23:20:00,171,1,Carlos Quintero,155000,117388,1972,Cali,Colombia,10.9878,-74.788899999999998,,
221,Elbert,Male,05/03/1979,45,Premium,2,False,,12:13:00,14:52:00,159,1,Carlos Quintero,260000,184972,1972,Cali,Colombia,10.9878,-74.788899999999998,,
479,Ingamar,Male,23/03/2010,14,Premium,2,False,,12:23:00,14:55:00,152,1,Carlos Quintero,260000,161720,1972,Cali,Colombia,10.9878,-74.788899999999998,,
120,Selle,Female,06/05/1984,40,Standard,3,False,,14:55:00,17:45:00,170,1,Carlos Quintero,155000,169769,1972,Cali,Colombia,10.9878,-74.788899999999998,,
165,Christian,Male,22/05/1995,29,Standard,2,True,Zumba,14:45:00,17:27:00,162,1,Carlos Quintero,155000,87337,1972,Cali,Colombia,10.9878,-74.788899999999998,,
425,Rockwell,Male,03/05/1983,41,Premium,5,False,,16:21:00,18:28:00,127,1,Carlos Quintero,260000,72696,1972,Cali,Colombia,10.9878,-74.788899999999998,,
73,Guillaume,Male,31/12/1988,35,Premium,2,False,,17:06:00,18:10:00,64,1,Carlos Quintero,260000,160482,1972,Cali,Colombia,10.9878,-74.788899999999998,,
207,Heall,Male,20/06/2006,18,Standard,3,True,Running- Zumba- Pilates,11:47:00,12:35:00,48,1,Carlos Quintero,155000,83401,1972,Cali,Colombia,10.9878,-74.788899999999998,,
211,Ethelin,Female,26/03/1997,27,Standard,2,True,Pilates,09:10:00,11:04:00,114,1,Carlos Quintero,155000,118886,1972,Cali,Colombia,10.9878,-74.788899999999998,,
336,Malanie,Female,02/03/1975,49,Standard,1,True,Running- BodyBalance- Spinning,10:40:00,12:01:00,81,1,Carlos Quintero,155000,169064,1972,Cali,Colombia,10.9878,-74.788899999999998,,
435,Maisie,Female,20/04/1981,43,Standard,1,True,Yoga,14:44:00,17:19:00,155,1,Carlos Quintero,155000,179539,1972,Cali,Colombia,10.9878,-74.788899999999998,,
298,Nicki,Female,09/04/1990,34,Premium,2,False,,19:17:00,20:25:00,68,1,Carlos Quintero,260000,57501,1972,Cali,Colombia,10.9878,-74.788899999999998,,
503,Sib,Female,19/10/2007,16,Standard,3,False,,15:10:00,17:07:00,117,1,Carlos Quintero,155000,51315,1972,Cali,Colombia,10.9878,-74.788899999999998,,
537,Jane,Female,18/12/1997,26,Standard,3,True,BodyPump- HIT- Zumba,10:22:00,11:11:00,49,1,Carlos Quintero,155000,145985,1972,Cali,Colombia,10.9878,-74.788899999999998,,
323,Benjamin,Male,19/06/1998,26,Premium,5,True,Running- Kickboxen- XCore,17:11:00,17:44:00,33,1,Carlos Quintero,260000,136437,1972,Cali,Colombia,10.9878,-74.788899999999998,,
593,Honor,Female,23/07/1998,26,Standard,5,False,,19:51:00,21:41:00,110,1,Carlos Quintero,155000,57803,1972,Cali,Colombia,10.9878,-74.788899999999998,,
617,Duffie,Male,17/01/2000,24,Standard,4,False,,15:28:00,17:59:00,151,1,Carlos Quintero,155000,122974,1972,Cali,Colombia,10.9878,-74.788899999999998,,
629,Jean,Male,08/08/2007,17,Standard,3,False,,11:02:00,13:11:00,129,1,Carlos Quintero,155000,130490,1972,Cali,Colombia,10.9878,-74.788899999999998,,
770,Marcelo,Male,01/09/1997,27,Premium,2,False,,17:22:00,18:22:00,60,1,Carlos Quintero,260000,76702,1972,Cali,Colombia,10.9878,-74.788899999999998,,
698,Morgan,Male,21/03/1975,49,Standard,3,False,,14:52:00,17:14:00,142,1,Carlos Quintero,155000,131029,1972,Cali,Colombia,10.9878,-74.788899999999998,,
576,Brade,Male,10/06/2008,16,Premium,2,True,Running- BodyPump,12:40:00,14:33:00,113,1,Carlos Quintero,260000,103030,1972,Cali,Colombia,10.9878,-74.788899999999998,,
730,Courtnay,Male,10/07/1985,39,Premium,5,False,,15:28:00,18:19:00,171,1,Carlos Quintero,260000,138554,1972,Cali,Colombia,10.9878,-74.788899999999998,,
87,Thorsten,Male,27/06/1977,47,Premium,3,True,Kickboxen- XCore- HIT,12:51:00,15:37:00,166,1,Carlos Quintero,260000,116223,1972,Cali,Colombia,10.9878,-74.788899999999998,,
205,Trey,Male,29/05/1982,42,Premium,3,False,,09:57:00,11:31:00,94,1,Carlos Quintero,260000,134465,1972,Cali,Colombia,10.9878,-74.788899999999998,,
